id,type,instance,status,#connections,inputs (#post),outputs (#pre),#voxels,ADMN(L) post,ADMN(L) pre,ADMN(R) post,ADMN(R) pre,ANm post,ANm pre,AbN1(L) post,AbN1(L) pre,AbN1(R) post,AbN1(R) pre,AbN2(L) post,AbN2(L) pre,AbN2(R) post,AbN2(R) pre,AbN3(L) post,AbN3(L) pre,AbN3(R) post,AbN3(R) pre,AbN4(L) post,AbN4(L) pre,AbN4(R) post,AbN4(R) pre,AbNT post,AbNT pre,CV post,CV pre,CvN(L) post,CvN(L) pre,CvN(R) post,CvN(R) pre,DMetaN(L) post,DMetaN(L) pre,DMetaN(R) post,DMetaN(R) pre,DProN(L) post,DProN(L) pre,DProN(R) post,DProN(R) pre,HTct(UTct-T3)(L) post,HTct(UTct-T3)(L) pre,HTct(UTct-T3)(R) post,HTct(UTct-T3)(R) pre,IntTct post,IntTct pre,LTct post,LTct pre,LegNp(T1)(L) post,LegNp(T1)(L) pre,LegNp(T1)(R) post,LegNp(T1)(R) pre,LegNp(T2)(L) post,LegNp(T2)(L) pre,LegNp(T2)(R) post,LegNp(T2)(R) pre,LegNp(T3)(L) post,LegNp(T3)(L) pre,LegNp(T3)(R) post,LegNp(T3)(R) pre,MesoAN(L) post,MesoAN(L) pre,MesoAN(R) post,MesoAN(R) pre,MesoLN(L) post,MesoLN(L) pre,MesoLN(R) post,MesoLN(R) pre,MetaLN(L) post,MetaLN(L) pre,MetaLN(R) post,MetaLN(R) pre,NTct(UTct-T1)(L) post,NTct(UTct-T1)(L) pre,NTct(UTct-T1)(R) post,NTct(UTct-T1)(R) pre,Ov(L) post,Ov(L) pre,Ov(R) post,Ov(R) pre,PDMN(L) post,PDMN(L) pre,PDMN(R) post,PDMN(R) pre,PrN(L) post,PrN(L) pre,PrN(R) post,PrN(R) pre,ProAN(L) post,ProAN(L) pre,ProAN(R) post,ProAN(R) pre,ProCN(L) post,ProCN(L) pre,ProCN(R) post,ProCN(R) pre,ProLN(L) post,ProLN(L) pre,ProLN(R) post,ProLN(R) pre,VProN(L) post,VProN(L) pre,VProN(R) post,VProN(R) pre,WTct(UTct-T2)(L) post,WTct(UTct-T2)(L) pre,WTct(UTct-T2)(R) post,WTct(UTct-T2)(R) pre,mVAC(T1)(L) post,mVAC(T1)(L) pre,mVAC(T1)(R) post,mVAC(T1)(R) pre,mVAC(T2)(L) post,mVAC(T2)(L) pre,mVAC(T2)(R) post,mVAC(T2)(R) pre,mVAC(T3)(L) post,mVAC(T3)(L) pre,mVAC(T3)(R) post,mVAC(T3)(R) pre
13246,INXXX468,INXXX468_T1_L,Traced,5,3267,897,1434138977,190,29,3075,868,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45618,DNxn104,DNxn104_CvC_L,Traced,4,36,207,110392980,2,,6,53,19,119,,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202,IN23B001,IN23B001_T1_R,Traced,4,10414,2276,6716418452,,11,1,9,,,1687,173,969,87,332,144,6686,4,65,242,40,172,220,750,134,673,,1,9,,252,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27516,DNxn143,DNxn143_CvC_L,Traced,3,322,340,254793512,5,,93,102,1,3,125,147,91,81,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17078,IN12A054,IN12A054_T2_L,Traced,3,2201,278,577771015,1065,168,1055,91,59,1,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16128,IN12A054,IN12A054_T2_L,Traced,3,2243,305,545771674,533,95,1267,130,240,14,1,,198,59,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12935,IN14B007,IN14B007_T2_R,Traced,3,4767,1134,1551220329,7,10,875,191,2620,522,77,56,34,168,18,,2,11,9,24,224,24,1,,899,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101219,IN12A054,IN12A054_T2_L,Traced,2,1276,213,435657954,741,135,415,24,120,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15409,,TBD,Unimportant,2,65,34,1077807618,64,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11617,IN11B002,IN11B002_T1_L,Traced,2,5296,1203,2283050135,775,96,2487,396,351,86,183,41,31,86,145,336,1081,111,241,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
